id,oem,platform,protocol,category,operation,request,response_prefix,source_file,source_function,source_address,confidence,notes
vag_uds_gateway_install_list,VAG,MQB,UDS,DISCOVERY,read_gateway_ecu_list,22 04 A1,62 04 A1,libCarista.so.c,GetVagUdsEcuListCommand::getRequest(),line 107137,VERIFIED,"Queries Gateway for 4-byte ECU entries. Byte 0 is VAG address, Byte 2 is install status flag (bit 2 active)."
vag_tp20_gateway_install_list,VAG,PQ35,TP2.0,DISCOVERY,read_gateway_ecu_list,1A 9F,5A 9F,libCarista.so.c,GetVagCanEcuListCommand::getRequest(),line 100945,VERIFIED,KWP2000 ReadECUIdentification record 0x9F over TP2.0 channel setup 0x21F.
vag_uds_read_dtc_8d,VAG,MQB,UDS,DTC,report_dtc_by_status_mask,19 02 8D,59 02,libCarista.so.c,ReadDtcsByStatusMaskCommand::getRequest(),line 86424 / line 108450,VERIFIED,"UDS ISO 14229 Service 0x19 Subfunction 0x02 with VAG specific mask 0x8D (testFailed, pending, confirmed, warningIndicator)."
vag_tp20_read_dtc_all,VAG,PQ35,TP2.0,DTC,read_diagnostic_trouble_codes,18 02 FF 00,58,libCarista.so.c,GetVagCanTroubleCodesCommand::getRequest(),line 102841,VERIFIED,"KWP2000 ReadDiagnosticTroubleCodesByStatus, group 0x02, mask 0xFF00."
vag_tp20_read_dtc_powertrain,VAG,PQ35,TP2.0,DTC,read_powertrain_trouble_codes,18 00 FF 00,58,libCarista.so.c,GetVagCanPowertrainTroubleCodesCommand::getRequest(),line 102800,VERIFIED,"KWP2000 ReadDiagnosticTroubleCodesByStatus, powertrain group 0x00."
vag_uds_clear_dtc,VAG,UNIVERSAL,UDS,DTC,clear_diagnostic_information,14 FF FF FF,54,libCarista.so,ClearTroubleCodesCommand,0x166630c,VERIFIED,UDS ISO 14229 Service 0x14 clears all emissions and non-emissions fault memories.
vag_uds_epb_open,VAG,MQB,UDS,ROUTINE,epb_open_brake_pads,31 01 03 A1,71 01 03 A1,libCarista.so.c,StartVagUdsParkingBrakeOpenCommand::StartVagUdsParkingBrakeOpenCommand,line 111280,VERIFIED,"Target ECU 0x53 (TX 0x752, RX 0x7BC). Moves electric parking brake calipers to open pad-replacement position."
vag_uds_epb_open_stop,VAG,MQB,UDS,ROUTINE,epb_stop_open_routine,31 02 03 A1,71 02 03 A1,libCarista.so.c,StopVagUdsParkingBrakeOpenCommand::StopVagUdsParkingBrakeOpenCommand,line 111400,VERIFIED,Stops open routine.
vag_uds_epb_close,VAG,MQB,UDS,ROUTINE,epb_close_brake_pads,31 01 03 A0,71 01 03 A0,libCarista.so.c,StartVagUdsParkingBrakeCloseCommand::StartVagUdsParkingBrakeCloseCommand,line 111212,VERIFIED,Target ECU 0x53. Closes parking brake calipers and performs self-test calibration.
vag_uds_epb_close_stop,VAG,MQB,UDS,ROUTINE,epb_stop_close_routine,31 02 03 A0,71 02 03 A0,libCarista.so.c,StopVagUdsParkingBrakeCloseCommand::StopVagUdsParkingBrakeCloseCommand,line 111351,VERIFIED,Stops close routine.
vag_uds_routine_status_query,VAG,MQB,UDS,ROUTINE,query_routine_execution_status,22 01 02,62 01 02,libCarista.so.c,ReadVagUdsStatusCommand::processPayload,line 110880 / line 110955,VERIFIED,"DID 0x0102. Payload status byte >> 4: 0=none, 1=succeeded, 4=aborted/safety, 6=conditions incorrect, 8=timeout, C=in progress."
vag_uds_dpf_regen_stationary,VAG,MQB,UDS,ROUTINE,dpf_regeneration_stationary,31 01 05 3D 04 00 00,71 01 05 3D,libCarista.so.c,StartVagDpfRegenCommand::StartVagDpfRegenCommand,line 111143,VERIFIED,"Target ECU 0x01 (Engine, TX 0x7E0, RX 0x7E8). Starts service particulate filter regeneration while vehicle is stationary."
vag_uds_dpf_regen_driving,VAG,MQB,UDS,ROUTINE,dpf_regeneration_driving,31 01 03 05 04 00 00,71 01 03 05,libCarista.so.c,StartVagDpfRegenCommand::StartVagDpfRegenCommand,line 111145,VERIFIED,Target ECU 0x01. Starts particulate filter regeneration for driving mode.
