id,internal_name,category,user_visible_name,OEM,platform,ecu_address,ecu_name,protocol,session,read_operation,write_operation,value_type,allowed_values,confidence,status
DIAG_AUTOSCAN,autoscan_full_gateway_discovery,Diagnostics,Full Diagnostic Scan (AutoScan),"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB / MLBevo,0x19,CAN_GATEWAY,UDS (ISO 14229) / TP2.0 (KWP2000),Default (0x01) / Extended (0x03),,,Structured Record List,List of installed ECUs with FaultCode models,VERIFIED,Production-Ready
DIAG_CLEAR_DTC,clear_fault_codes_all_groups,Diagnostics,Clear Fault Codes (DTC Reset),"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB / MLBevo,All Discovered ECUs,MULTI_ECU,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),,,Command,Execute,VERIFIED,Production-Ready
TOOL_EPB_SERVICE,epb_electronic_parking_brake_service,Service Tools,Electronic Parking Brake (EPB) Retract / Close,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x53,"PARKING_BRAKE (Tx: 0x752, Rx: 0x7BC)",UDS (ISO 14229),Extended Diagnostic Session (10 03),,,Procedure,"Open Pistons, Close Pistons, Calibrate Thickness",VERIFIED,Production-Ready
TOOL_DPF_REGENERATION,dpf_diesel_particulate_filter_regeneration,Service Tools,DPF Regeneration (Service / Emergency),"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x01,"ENGINE (Tx: 0x7E0, Rx: 0x7E8)",UDS (ISO 14229),Extended Diagnostic Session (10 03),,,Procedure,"Start Stationary Regen, Start Driving Regen",VERIFIED,Production-Ready
TOOL_BATTERY_REGISTRATION,battery_registration_adaptation,Service Tools,Battery Registration (New Battery Coding),"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x19,"CAN_GATEWAY (Tx: 0x710, Rx: 0x77A) or BATTERY_REG (0x61)",UDS / KWP2000,Extended Diagnostic Session (10 03),,,Structured Parameters,"Capacity: 40-110 Ah; Tech: Fleece/AGM, EFB, Wet; Mfr: VTA, JCB, MLA, TU3",VERIFIED,Production-Ready
TOOL_SERVICE_RESET,service_indicator_wiv_reset,Service Tools,Service Indicator Reset (Oil & Inspection),"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x17,"INSTRUMENT_CLUSTER (Tx: 0x714, Rx: 0x77E)",UDS / KWP2000,Extended Diagnostic Session (10 03),,,Procedure,"Reset Oil Service, Reset Inspection Service",VERIFIED,Production-Ready
FEAT_0001_TODO,car_setting_TODO,Other,Todo,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x09,CENTRAL_ELECTRICS,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0002_AC_REFRIGERANT_SHORTAGE_CHECK,car_setting_ac_refrigerant_shortage_check,Heater & A/C,Ac Refrigerant Shortage Check,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x01,ENGINE,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier (0x22) / Adaptation Read (0x2A),WriteDataByIdentifier (0x2E) / Adaptation Write (0x2E),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0003_ACC_OVERTAKING_ON_RIGHT,car_setting_acc_overtaking_on_right,Driver Assist,Adaptive cruise control overtaking on the right,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x13,AUTO_DIST_REG,UDS,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0004_ADS_AMI_MENU,car_setting_ads_ami_menu,Audi Drive Select (ADS),Ads Ami Menu,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x5F,INFOTAINMENT,UDS,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
FEAT_0005_ADS_ENGINE_MENU,car_setting_ads_engine_menu,Audi Drive Select (ADS),Show engine option in ADS menu,"VAG (VW, Audi, Skoda, SEAT)",PQ35 / MQB / MLB,0x01,ENGINE,UDS / KWP2000,Extended Diagnostic Session (0x10 0x03),ReadDataByIdentifier DID 0xF1A3 (Long Coding),WriteDataByIdentifier DID 0xF1A3 (Long Coding),MultipleChoice,Yes / No,VERIFIED,Production-Ready
